
"Population estimates - small area based by single year of age - England and Wales"
"ONS Crown Copyright Reserved [from Nomis on 24 September 2019]"
"Date       :","2017"
"Gender     :","Total"

"2011 output area","mnemonic","All Ages","Aged 0 to 15","Aged 16 to 64","Aged 65+"

"E00140750","E00140750",335,63,190,82
"E00140752","E00140752",346,77,207,62
"E00140753","E00140753",277,48,176,53
"E00140754","E00140754",284,41,174,69
"E00140755","E00140755",235,46,132,57
"E00140756","E00140756",300,47,218,35
"E00140757","E00140757",216,44,129,43
"E00140758","E00140758",298,56,208,34
"E00140759","E00140759",267,40,138,89
"E00140760","E00140760",257,38,147,72
"E00140761","E00140761",200,14,92,94
"E00140762","E00140762",260,36,154,70
"E00140763","E00140763",301,40,160,101
"E00140764","E00140764",266,34,150,82
"E00140765","E00140765",290,53,166,71
"E00140766","E00140766",350,90,225,35
"E00140767","E00140767",280,69,167,44
"E00140769","E00140769",277,35,142,100
"E00140770","E00140770",241,29,95,117
"E00140771","E00140771",233,47,122,64
"E00140772","E00140772",331,69,187,75
"E00140773","E00140773",352,72,190,90
"E00140774","E00140774",223,19,80,124
"E00140775","E00140775",346,62,195,89
"E00140776","E00140776",315,50,195,70
"E00140777","E00140777",273,47,166,60
"E00140778","E00140778",177,35,102,40
"E00140779","E00140779",253,38,136,79
"E00140780","E00140780",329,65,174,90
"E00140781","E00140781",565,117,313,135
"E00140782","E00140782",267,34,126,107
"E00140783","E00140783",246,21,100,125
"E00140784","E00140784",347,85,215,47
"E00140785","E00140785",344,77,231,36
"E00140786","E00140786",306,47,212,47
"E00140787","E00140787",347,44,202,101
"E00140788","E00140788",325,51,203,71
"E00140790","E00140790",348,60,197,91
"E00140791","E00140791",147,19,74,54
"E00140793","E00140793",132,15,94,23
"E00140794","E00140794",235,33,139,63
"E00140795","E00140795",209,40,118,51
"E00140796","E00140796",186,22,95,69
"E00140797","E00140797",244,35,132,77
"E00140798","E00140798",235,21,154,60
"E00140799","E00140799",304,54,187,63
"E00140800","E00140800",369,60,188,121
"E00140801","E00140801",487,85,283,119
"E00140802","E00140802",302,75,188,39
"E00140803","E00140803",294,39,150,105
"E00140804","E00140804",341,57,223,61
"E00140805","E00140805",334,57,231,46
"E00140807","E00140807",351,71,246,34
"E00140808","E00140808",300,81,169,50
"E00140809","E00140809",299,82,190,27
"E00140810","E00140810",355,110,217,28
"E00140811","E00140811",254,45,147,62
"E00140812","E00140812",321,75,206,40
"E00140813","E00140813",131,10,74,47
"E00140814","E00140814",308,73,191,44
"E00140815","E00140815",304,70,194,40
"E00140816","E00140816",312,60,182,70
"E00140817","E00140817",469,112,313,44
"E00140818","E00140818",321,57,217,47
"E00140819","E00140819",457,101,311,45
"E00140820","E00140820",443,53,232,158
"E00140822","E00140822",478,94,286,98
"E00140823","E00140823",348,65,198,85
"E00140824","E00140824",387,65,201,121
"E00140825","E00140825",273,43,167,63
"E00140826","E00140826",440,51,231,158
"E00140827","E00140827",317,59,177,81
"E00140828","E00140828",461,55,286,120
"E00140829","E00140829",327,71,214,42
"E00140830","E00140830",286,28,179,79
"E00140831","E00140831",284,55,136,93
"E00140832","E00140832",257,39,102,116
"E00140833","E00140833",429,88,234,107
"E00140834","E00140834",314,50,226,38
"E00140835","E00140835",338,71,226,41
"E00140836","E00140836",208,15,47,146
"E00140837","E00140837",326,87,204,35
"E00140838","E00140838",276,63,170,43
"E00140839","E00140839",296,42,145,109
"E00140840","E00140840",253,12,124,117
"E00140841","E00140841",222,55,154,13
"E00140842","E00140842",271,37,205,29
"E00140843","E00140843",253,13,115,125
"E00140844","E00140844",289,39,168,82
"E00140845","E00140845",276,51,205,20
"E00140846","E00140846",325,70,242,13
"E00140847","E00140847",265,55,202,8
"E00140848","E00140848",270,49,206,15
"E00140849","E00140849",230,43,166,21
"E00140850","E00140850",344,63,228,53
"E00140851","E00140851",295,54,208,33
"E00140852","E00140852",259,35,194,30
"E00140853","E00140853",345,66,247,32
"E00140854","E00140854",242,57,165,20
"E00140855","E00140855",320,51,237,32
"E00140856","E00140856",406,57,330,19
"E00140857","E00140857",298,18,210,70
"E00140858","E00140858",271,23,224,24
"E00140859","E00140859",214,14,114,86
"E00140860","E00140860",295,43,174,78
"E00140861","E00140861",395,43,285,67
"E00140862","E00140862",336,46,218,72
"E00140863","E00140863",348,79,204,65
"E00140864","E00140864",277,48,157,72
"E00140865","E00140865",242,38,165,39
"E00140866","E00140866",292,42,89,161
"E00140867","E00140867",270,46,140,84
"E00140868","E00140868",277,59,188,30
"E00140869","E00140869",300,63,177,60
"E00140870","E00140870",344,43,168,133
"E00140871","E00140871",352,82,188,82
"E00140872","E00140872",389,44,174,171
"E00140873","E00140873",372,84,208,80
"E00140874","E00140874",260,43,148,69
"E00140875","E00140875",354,57,238,59
"E00140876","E00140876",261,51,139,71
"E00140877","E00140877",246,40,129,77
"E00140878","E00140878",267,34,181,52
"E00140879","E00140879",323,52,194,77
"E00140880","E00140880",322,59,185,78
"E00140881","E00140881",241,49,152,40
"E00140882","E00140882",153,40,94,19
"E00140883","E00140883",366,49,191,126
"E00140884","E00140884",176,25,91,60
"E00140885","E00140885",359,82,175,102
"E00140886","E00140886",405,49,226,130
