Title,Date,Views,Reads
Digital Brighton & Hove: Impact of the Network,2019-04-17T16:00:04Z,29,18
Promoting GP Online Services in Moulsecoomb and Whitehawk,2019-04-04T16:04:42Z,34,17
Bob shares his love of nature online,2019-03-11T10:55:36Z,0,0
Giorgio reconnects with his brother online,2019-03-11T10:53:46Z,0,0
Research and more support to build Dorset’s basic digital skills,2018-10-19T11:14:09Z,0,0
Citizens Online publish Digital Inclusion report on Kent Social Housing,2018-10-02T07:32:24Z,3,1
88 year-old Sylvie gets online in Brighton & Hove,2018-07-11T11:43:05Z,5,1
National award for Digital Gwynedd volunteer,2018-07-09T11:13:41Z,3,3
New bilingual e-learning course helps people get online,2018-07-09T11:05:29Z,5,5
National award for Digital Gwynedd volunteer,2018-07-09T10:34:56Z,3,3
New bilingual e-learning course helps get online,2018-07-06T09:26:57Z,8,4
Essential Digital Skills — Language and Leadership,2018-07-05T12:14:01Z,19,9
"Thank you, Volunteer Digital Champions",2018-06-07T13:16:13Z,19,6
Citizens Online projects are finalists in the Digital Leaders Awards — vote now!,2018-04-24T11:33:53Z,42,9
Switch — a new approach to digital inclusion,2017-11-23T17:15:58Z,52,35
